id,vehicle_identifier,longitude,latitude,date_time
18671673,CYEL8,-15.4243584,28.1435642,2024-10-29 10:21:54
18671788,EAFP7,-15.4162941,28.1502209,2024-10-29 10:22:51
18671789,QLJD0,-15.4215679,28.1194744,2024-10-29 10:22:54
18671790,YIFR2,-15.4021378,27.9224834,2024-10-29 10:22:54
18671791,CYEL8,-15.4243584,28.1435642,2024-10-29 10:22:54
18671906,EAFP7,-15.4162941,28.1502209,2024-10-29 10:23:51
18671907,QLJD0,-15.4297857,28.130764,2024-10-29 10:23:54
18671908,YIFR2,-15.4021378,27.9224834,2024-10-29 10:23:54
18671909,CYEL8,-15.4243326,28.1435909,2024-10-29 10:23:54
18672024,EAFP7,-15.4162941,28.1502209,2024-10-29 10:24:52
18672025,QLJD0,-15.4294014,28.1423111,2024-10-29 10:24:54
18672026,YIFR2,-15.4021378,27.9224834,2024-10-29 10:24:54
18672027,CYEL8,-15.4243326,28.1435909,2024-10-29 10:24:54
18672142,EAFP7,-15.4141436,28.1507835,2024-10-29 10:25:51
18672143,QLJD0,-15.4267387,28.1478138,2024-10-29 10:25:55
18672144,YIFR2,-15.4021378,27.9224834,2024-10-29 10:25:55
18672145,CYEL8,-15.4243584,28.1435642,2024-10-29 10:25:55
18672260,EAFP7,-15.4138107,28.1504765,2024-10-29 10:26:51
18672261,QLJD0,-15.4226179,28.148428,2024-10-29 10:26:55
18672262,YIFR2,-15.4021378,27.9224834,2024-10-29 10:26:55
18672263,CYEL8,-15.4243326,28.1435642,2024-10-29 10:26:55
18672378,EAFP7,-15.4138107,28.1504765,2024-10-29 10:27:51
18672379,QLJD0,-15.4192381,28.1475067,2024-10-29 10:27:55
18672380,YIFR2,-15.4021378,27.9224834,2024-10-29 10:27:55
18672381,CYEL8,-15.4243326,28.1435642,2024-10-29 10:27:55
18672496,EAFP7,-15.4137087,28.1504002,2024-10-29 10:28:52
18672497,QLJD0,-15.4163198,28.144537,2024-10-29 10:28:55
18672498,YIFR2,-15.4021378,27.9224834,2024-10-29 10:28:55
18672499,CYEL8,-15.4243326,28.1435642,2024-10-29 10:28:55
18672614,EAFP7,-15.4137087,28.1504002,2024-10-29 10:29:51
18672615,QLJD0,-15.4160128,28.1446152,2024-10-29 10:29:54
18672616,YIFR2,-15.4021378,27.9224834,2024-10-29 10:29:54
18672617,CYEL8,-15.4243326,28.1435642,2024-10-29 10:29:53
18672732,EAFP7,-15.4137344,28.150425,2024-10-29 10:30:51
18672733,QLJD0,-15.4160128,28.1446152,2024-10-29 10:30:54
18672734,YIFR2,-15.4021378,27.9224834,2024-10-29 10:30:54
18672735,CYEL8,-15.4243326,28.1435642,2024-10-29 10:30:54
18672850,EAFP7,-15.4137087,28.1504002,2024-10-29 10:31:51
18672851,QLJD0,-15.4153986,28.1453571,2024-10-29 10:31:54
18672852,YIFR2,-15.4021378,27.9224834,2024-10-29 10:31:54
18672853,CYEL8,-15.4243069,28.1435642,2024-10-29 10:31:54
18672968,EAFP7,-15.4137087,28.1504002,2024-10-29 10:32:51
18672969,QLJD0,-15.4159365,28.1473541,2024-10-29 10:32:55
18672970,YIFR2,-15.4021378,27.9224834,2024-10-29 10:32:55
18672971,CYEL8,-15.4243326,28.1435394,2024-10-29 10:32:55
18673086,EAFP7,-15.4139137,28.1505527,2024-10-29 10:33:51
18673087,QLJD0,-15.4159365,28.1473541,2024-10-29 10:33:55
18673088,YIFR2,-15.4021893,27.9225082,2024-10-29 10:33:55
18673089,CYEL8,-15.4243326,28.1435394,2024-10-29 10:33:55
18673204,EAFP7,-15.4139137,28.1505527,2024-10-29 10:34:51
18673205,QLJD0,-15.4159613,28.1493244,2024-10-29 10:34:54
18673206,YIFR2,-15.4021893,27.9225082,2024-10-29 10:34:54
18673207,CYEL8,-15.4243584,28.1435394,2024-10-29 10:34:54
18673322,EAFP7,-15.413888,28.1502972,2024-10-29 10:35:51
18673323,QLJD0,-15.4152451,28.1489143,2024-10-29 10:35:54
18673324,YIFR2,-15.4020863,27.9223557,2024-10-29 10:35:54
18673325,CYEL8,-15.4243069,28.1435642,2024-10-29 10:35:54
18673440,EAFP7,-15.4137344,28.1500931,2024-10-29 10:36:51
18673441,QLJD0,-15.4152451,28.1489143,2024-10-29 10:36:55
18673442,YIFR2,-15.4018049,27.9224319,2024-10-29 10:36:55
18673443,CYEL8,-15.4243069,28.1435642,2024-10-29 10:36:55
18673558,EAFP7,-15.4137344,28.1500931,2024-10-29 10:37:51
18673559,QLJD0,-15.4155264,28.1485825,2024-10-29 10:37:55
18673560,YIFR2,-15.4018049,27.9224319,2024-10-29 10:37:55
18673561,CYEL8,-15.4242821,28.1435909,2024-10-29 10:37:55
18673676,EAFP7,-15.41399,28.1500931,2024-10-29 10:38:51
18673677,QLJD0,-15.4155264,28.1485577,2024-10-29 10:38:54
18673678,YIFR2,-15.4018049,27.9224567,2024-10-29 10:38:54
18673679,CYEL8,-15.4242821,28.1435909,2024-10-29 10:38:54
